Species,Origin,Run,Year,Count
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,0
Steelhead,Hatchery,Winter,1999,0
Steelhead,Hatchery,Winter,2000,27
Steelhead,Hatchery,Winter,2001,38
Steelhead,Hatchery,Winter,2002,64
Steelhead,Hatchery,Winter,2003,28
Steelhead,Hatchery,Winter,2004,136
Steelhead,Hatchery,Winter,2005,33
Steelhead,Hatchery,Winter,2006,3
Steelhead,Hatchery,Winter,2007,27
Steelhead,Hatchery,Winter,2008,0
Steelhead,Hatchery,Winter,2009,0
Steelhead,Hatchery,Winter,2010,0
Steelhead,Hatchery,Winter,2011,0
Steelhead,Hatchery,Winter,2012,0
Steelhead,Hatchery,Winter,2013,0
Steelhead,Hatchery,Winter,2014,0
Steelhead,Hatchery,Winter,2015,0
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
