WILD Type S Coho,HATCHERY Type S Coho
247,247
247,247
247,247
254,247
254,247
254,247
254,247
254,247
254,247
254,247
256,247
261,247
261,247
261,247
261,247
261,249
261,249
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,254
261,256
263,256
263,256
263,256
263,256
263,256
263,260
269,260
269,260
269,260
269,260
269,260
269,260
269,260
269,260
269,261
270,261
270,261
270,261
270,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
271,261
276,261
276,261
276,261
276,261
276,261
276,261
276,261
276,261
276,261
276,261
282,261
282,261
282,261
282,261
282,261
282,261
282,261
282,261
282,261
282,261
283,261
283,261
283,261
283,261
283,261
283,261
283,261
283,261
283,261
283,261
283,261
283,261
283,261
283,261
289,261
289,261
289,263
289,263
289,263
289,263
289,263
289,263
289,263
289,263
289,263
289,263
289,263
289,263
289,263
289,267
289,267
289,267
289,267
290,268
290,268
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
290,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
296,269
297,269
297,269
297,269
297,270
297,270
297,270
297,270
297,270
297,270
297,270
297,270
297,270
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,271
297,274
297,274
297,274
297,274
297,274
303,274
303,274
303,274
303,274
303,274
303,274
303,274
304,274
304,274
304,274
304,274
304,275
304,275
304,275
304,275
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
304,276
310,276
310,276
311,276
311,276
311,276
311,276
311,281
311,281
311,281
311,281
311,282
311,282
311,282
311,282
311,282
311,282
317,282
317,282
318,282
318,282
318,282
318,282
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,283
318,288
318,289
318,289
318,289
318,289
318,289
318,289
318,289
318,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
325,289
339,289
339,289
339,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,289
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,290
,294
,294
,294
,294
,294
,294
,294
,294
,294
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,295
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,296
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,300
,300
,300
,300
,300
,300
,302
,302
,302
,302
,302
,303
,303
,304
,304
,304
,304
,304
,304
,304
,304
,304
,304
,304
,304
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,309
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,310
,311
,311
,311
,311
,311
,311
,311
,311
,311
,318
,323
,323
,323
,328
,328
,328
,328
