Year,HATC_Fall_Chinook,HATC__Coho,HATC__Chum
1997,1835,11500,7176
1998,6279,2958,25157
1999,8297,7335,4620
2000,4055,9457,1589
2001,8816,23006,36962
2002,8396,24762,48200
2003,10028,16721,82501
2004,12278,15372,15130
2005,16018,19050,12749
2006,12350,1726,26050
2007,13275,6371,28600
2008,13695,4458,7474
2009,13220,4170,9132
2010,12895,1566,1919
2011,14835,7014,3922
2012,22873,4228,4563
2013,21452,7840,12514
2014,6227,1771,1710
2015,6032,2719,7872
2016,22076,5174,0
2017,35129,9756,0
2018,23796,4813,0
2019,12111,5477,0
2020,3411,9121,0
