Year,HATC_Spring_Chinook,HATC_Winter_Steelhead,WILD__Coho,HATC__Coho,HATC__Chum,UNKN__Chum
2011,1257,73,0,882,0,0
2010,1227,177,0,3986,0,0
2012,1176,140,0,520,31,0
1999,2892,0,0,2836,1439,0
2003,5041,35,0,4567,4528,0
2000,1910,1,0,2800,311,0
2006,734,244,0,692,858,0
2007,600,103,0,1028,950,0
2001,5345,84,0,8301,3841,0
2002,5637,128,0,7476,2393,0
2004,3501,163,0,2318,5233,0
2008,1201,145,0,385,53,0
1997,1383,0,0,11761,289,0
2005,1522,275,0,750,3115,0
2009,726,28,0,518,15,0
1998,1208,0,0,12860,2243,0
2013,2236,56,2004,16,12,0
2014,1983,353,1808,8,1036,0
2015,2919,254,194,0,836,0
2016,1690,12,1073,1,0,353
2017,2252,91,518,0,0,990
2018,2031,372,377,9,0,1884
2019,1918,34,2028,23,0,1168
2020,1401,49,742,8,0,2591
