Year,WILD_Summer_Chinook,WILD_Fall_Chinook,HATC_Spring_Chinook,HATC_Winter_Steelhead,WILD__Coho,HATC__Coho
2011,67,0,1299,117,453,8778
2010,69,0,1377,412,285,4132
2012,82,0,1572,257,165,9458
1999,77,16,3169,361,0,2708
2003,100,226,1537,97,0,4372
2000,97,89,1108,105,0,11261
2006,102,275,1530,284,0,1525
2007,91,279,2010,298,0,8887
2001,76,76,1567,485,0,12354
2002,81,19,1710,525,0,16045
2004,97,131,3211,398,0,10038
2008,86,82,1464,98,99,10324
1997,71,0,1140,23,0,3146
2005,102,233,2305,288,0,10161
2009,94,0,909,159,589,8955
1998,91,0,1088,583,0,9461
2013,73,0,1257,207,256,13114
2014,94,0,1075,43,130,7244
2015,91,0,1736,36,28,1203
2016,81,0,2349,0,214,8693
2017,91,0,3168,0,51,5443
2018,75,0,2303,0,386,8952
2019,82,0,1732,0,301,8080
2020,56,0,1827,0,422,18736
