Year,HATC_Spring_Chinook,HATC_Fall_Chinook,WILD__Coho,HATC__Coho,HATC__Chum,UNKN__Chum,WILD__Pink,HATC__Pink
1997,0,3462,0,19874,9746,0,0,86
1998,0,8039,0,9733,44424,0,0,0
1999,565,10343,0,2539,18639,0,0,13
2000,0,6030,0,15433,24973,0,0,0
2001,0,10951,0,16229,23218,0,0,47
2002,0,9297,0,14806,52201,0,0,0
2003,0,4987,0,12227,41751,0,0,68
2004,0,4842,0,29889,41467,0,0,0
2005,0,4052,0,16652,3648,0,69,0
2006,0,10554,0,12121,60301,0,0,0
2007,0,13357,0,0,38636,0,76,0
2008,0,16004,0,0,20715,0,0,0
2009,0,0,0,0,12719,0,275,0
2010,352,5837,423,3159,29011,0,2,0
2011,525,7875,883,6327,30943,0,87,0
2012,280,1255,1667,8120,40197,0,0,0
2013,680,3400,452,6556,26499,0,398,0
2014,363,1917,752,3417,20544,0,1,0
2015,187,2777,98,1907,30395,0,193,0
2016,792,7432,607,17044,0,27913,0,0
2017,1846,10116,538,13940,0,30584,0,0
2018,1552,10932,175,8530,0,22153,0,0
2019,1231,8265,948,5578,0,12146,0,0
2020,2348,6350,387,6433,0,16323,0,0
