Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead,WILD_Type S_Coho,WILD_Type N_Coho,HATC_Type S_Coho,HATC_Type N_Coho
1997,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0
2000,0,2462,0,0,0,0,0,0
2001,0,4169,0,0,0,0,0,0
2002,0,2356,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,97,2489,0,0,0,0,0,0
2011,610,5091,0,0,0,0,0,0
2012,482,6559,0,0,0,0,0,0
2013,1119,7604,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0
2015,3080,25696,164,1524,69,21,1538,312
2016,2571,16826,154,1042,50,20,141,445
2017,1721,15636,159,466,41,68,102,178
2018,1397,11595,188,644,18,29,45,170
2019,1013,10093,97,526,64,0,78,10
2020,2528,13678,164,743,102,100,1122,1539
