Year,WILD_Fall_Chinook,HATC_Fall_Chinook,HATC_Winter_Steelhead,WILD__Coho,WILD_Late_Coho,HATC__Coho,HATC_Late_Coho,WILD__Chum,UNKN__Chum
2011,365,4610,0,45,0,10817,115,207,0
2010,0,691,34,0,0,2483,46,0,0
2012,552,4186,15,54,8,9234,512,277,0
1999,0,24,34,0,0,96,57,112,0
2003,0,955,35,0,0,33600,154,0,0
2000,0,0,18,0,0,0,80,0,0
2006,0,2408,0,0,0,200,0,33,0
2007,0,1350,0,0,0,120,0,0,0
2001,0,0,18,0,0,0,169,0,0
2002,0,2902,25,0,0,17586,130,0,0
2004,0,1663,9,0,0,475,0,0,0
2008,0,920,0,0,0,0,0,0,0
1997,0,3138,4,0,0,1455,17,0,0
2005,0,1300,0,0,0,1200,0,0,0
2009,0,400,0,0,0,1050,70,0,0
1998,0,1423,38,0,0,1064,58,0,0
2013,180,3359,86,127,13,7371,597,374,0
2014,304,2636,437,72,17,45431,2301,349,0
2015,876,4844,848,260,25,7286,1690,500,0
2016,501,2018,804,281,97,10284,863,0,664
2017,799,3280,243,83,42,1477,191,0,1097
2018,489,2927,133,127,72,5303,423,0,1025
2019,194,2512,53,301,27,9556,626,0,852
2020,647,6680,303,179,15,22031,743,0,799
