Year,WILD_Fall_Chinook,HATC_Fall_Chinook,UNKN_Fall_Chinook,UNKN_Summer_Steelhead,WILD_Type S_Coho,HATC_Type S_Coho
1997,0,10774,0,0,0,0
1998,0,15010,0,0,0,0
1999,0,23202,0,0,0,0
2000,0,7115,0,0,0,0
2001,0,14560,0,0,0,0
2002,0,11933,0,0,0,0
2003,0,8923,0,0,0,0
2004,0,15493,0,0,0,0
2005,0,10408,0,0,0,0
2006,0,8039,0,0,0,0
2007,0,4596,0,0,0,0
2008,0,18448,0,3,0,0
2009,0,9560,0,9,0,0
2010,162,16553,0,0,0,0
2011,298,17176,0,0,0,0
2012,540,18903,0,0,0,3
2013,1174,38821,0,6,0,0
2014,1269,66056,0,22,0,45
2015,989,60492,0,13,0,3
2016,0,27973,773,5,2,0
2017,0,15251,1460,5,20,1
2018,0,14651,1969,0,15,14
2019,0,16783,2174,0,50,16
2020,0,34694,1164,0,25,18
