Year,HATC_Spring_Chinook,HATC_Fall_Chinook,WILD_Winter_Steelhead,HATC_Summer_Steelhead,HATC_Winter_Steelhead,WILD_Type S_Coho,HATC_Type S_Coho,HATC_Type N_Coho
1997,0,3711,0,0,0,0,859,0
1998,0,1440,0,0,0,0,94,809
1999,0,2914,8,0,0,0,2131,3000
2000,1,1763,74,8,131,94,6851,4000
2001,29,3863,98,0,953,14,11727,7734
2002,0,2617,0,0,3024,101,7852,4211
2003,52,3338,32,0,722,336,7738,2800
2004,177,2139,49,0,579,83,5124,1024
2005,25,1514,0,69,236,18,2819,753
2006,16,1102,17,228,827,0,2720,329
2007,5,0,11,35,485,0,2147,939
2008,0,0,1,168,444,0,3659,2019
2009,0,0,6,0,489,0,887,720
2010,0,0,0,0,208,0,0,5
2011,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0
